,business_name,telephone,business_page,rank,category,website,rating,street,locality,region,zipcode,listing_url,keyword,Address,x,y,STATE,GEOID,BLOCK,TRACT,geometry
26,PLS Loan Store,(773) 881-3300,https://www.yellowpages.com/chicago-il/mip/pls-loan-store-5672118,27. ,"Payday Loans,Loans,Financing Services",http://pls247.com/il/store-locator/store/251-9920-s-western-ave-chicago.html,,9920 S Western Ave,"Chicago, IL 60643",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"9920 S Western Ave Chicago, IL 60643",-87.68184,41.71321,NS,17,1000,720400,POINT (-87.68183999999999 41.71321)
27,Check Into Cash,(773) 737-1562,https://www.yellowpages.com/chicago-il/mip/check-into-cash-11560054,28. ,"Payday Loans,Check Cashing Service,Loans",http://www.checkintocash.com,,5851 S Kedzie Ave,"Chicago, IL 60629",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"5851 S Kedzie Ave Chicago, IL 60629",-87.703354,41.78665,NS,17,4016,630800,POINT (-87.703354 41.78665)
28,Heights Finance Corp,(773) 386-0440,https://www.yellowpages.com/chicago-il/mip/heights-finance-corp-463873423,29. ,"Payday Loans,Financing Services,Loans",http://www.heightsfinance.com,,2906 N Central Park Ave,"Chicago, IL 60618",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"2906 N Central Park Ave Chicago, IL 60618",-87.717255,41.933987,NS,17,2008,210502,POINT (-87.71725499999999 41.933987)
29,Broadway Financial Services,(773) 537-2300,https://www.yellowpages.com/chicago-il/mip/broadway-financial-services-512134561,30. ,"Payday Loans,Loans,Alternative Loans",https://www.broadwayfs.com/about-hayden,,3755 N Halsted St,"Chicago, IL 60613",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=1",payday loans,"3755 N Halsted St Chicago, IL 60613",-87.6496,41.950535,NS,17,1001,060900,POINT (-87.64960000000001 41.950535)
1,Check N' Go,(708) 660-9655,https://www.yellowpages.com/chicago-il/mip/check-n-go-516941640,32. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,1701 W North Ave,"Chicago, IL 60622",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"1701 W North Ave Chicago, IL 60622",-87.67071,41.910583,NS,17,1002,241500,POINT (-87.67071 41.910583)
2,Payday Car Home Business Loans,(312) 488-1344,https://www.yellowpages.com/chicago-il/mip/payday-car-home-business-loans-467192932,33. ,"Payday Loans,Loans,Mortgages",,1,7524 N Paulina St,"Chicago, IL 60626",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"7524 N Paulina St Chicago, IL 60626",-87.673294,42.018772,NS,17,1002,010202,POINT (-87.673294 42.018772)
3,USA PAYDAY Loan,(773) 767-4751,https://www.yellowpages.com/chicago-il/mip/usa-payday-loan-1954657,34. ,"Check Cashing Service,Loans,Financing Services",,,8127 S Cicero Ave,"Chicago, IL 60652",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"8127 S Cicero Ave Chicago, IL 60652",-87.74121,41.74502,NS,17,3016,700301,POINT (-87.74121 41.74502)
4,Speedy Cash,(888) 341-8066,https://www.yellowpages.com/nationwide/mip/speedy-cash-524842622?lid=1001434473740,35. ,"Payday Loans,Loans",https://www.speedycash.com/?utm_medium=yp&utm_source=iyp&utm_campaign=diamondpayday&cvosrc=directory.yp.iyp-diamond,43,,,,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,,,,,,,,POINT (nan nan)
10,Instant Cash Advance,(708) 848-9999,https://www.yellowpages.com/oak-park-il/mip/instant-cash-advance-546002392,41. ,Payday Loans,https://www.advancecash.info,,6421 North Ave,"Oak Park, IL 60302",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"6421 North Ave Oak Park, IL 60302",-87.78541,41.909138,NS,17,1000,812200,POINT (-87.78541 41.909138)
11,The Money Company,(708) 366-3267,https://www.yellowpages.com/forest-park-il/mip/the-money-company-13689795,42. ,"Payday Loans,Loans",http://www.moneycoloans.com,,7204 Madison St,"Forest Park, IL 60130",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"7204 Madison St Forest Park, IL 60130",-87.80499,41.87964,NS,17,1000,816000,POINT (-87.80499 41.87964)
12,Metro Loan Stores,(708) 571-3540,https://www.yellowpages.com/cicero-il/mip/metro-loan-stores-509792931,43. ,"Payday Loans,Financing Services,Title Loans",http://www.metroloanstore.com,,1627 S Cicero Ave,"Cicero, IL 60804",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"1627 S Cicero Ave Cicero, IL 60804",-87.74449,41.858128,NS,17,3000,813702,POINT (-87.74449 41.858128)
13,Cash Direct Inc,(708) 422-8201,https://www.yellowpages.com/oak-lawn-il/mip/cash-direct-inc-8128143,44. ,Payday Loans,,,10406 S Cicero Ave,"Oak Lawn, IL 60453",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"10406 S Cicero Ave Oak Lawn, IL 60453",-87.740204,41.703495,NS,17,1018,822602,POINT (-87.74020400000001 41.703495)
14,PLS Loan Store,(708) 952-0800,https://www.yellowpages.com/evergreen-park-il/mip/pls-loan-store-8798814,45. ,Payday Loans,,,2501 W 95th St,"Evergreen Park, IL 60805",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"2501 W 95th St Evergreen Park, IL 60805",-87.684654,41.720905,NS,17,1001,821900,POINT (-87.68465399999999 41.720905)
15,Devon Financial Services,(708) 731-5094,https://www.yellowpages.com/maywood-il/mip/devon-financial-services-503023379,46. ,"Payday Loans,Title Loans",http://www.loansdfs.com,,1702 Madison St,"Maywood, IL 60153",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"1702 Madison St Maywood, IL 60153",-87.85385,41.878624,NS,17,4009,817200,POINT (-87.85384999999999 41.878624)
16,Metro Loan Store,(708) 571-3530,https://www.yellowpages.com/evergreen-park-il/mip/metro-loan-store-532186875,47. ,"Payday Loans,Loans,Title Loans",http://metroloanstore.com,,3148 W 95th St,"Evergreen Park, IL 60805",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"3148 W 95th St Evergreen Park, IL 60805",-87.70108,41.720745,NS,17,4005,821800,POINT (-87.70108 41.720745)
17,Fast Cash Advance,(708) 344-0101,https://www.yellowpages.com/westchester-il/mip/fast-cash-advance-13090797,48. ,Payday Loans,,,10311 W Roosevelt Rd,"Westchester, IL 60154",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"10311 W Roosevelt Rd Westchester, IL 60154",-87.88012,41.863316,NS,17,4009,818200,POINT (-87.88012000000001 41.863316)
18,Great American Cash Advance,(708) 857-8400,https://www.yellowpages.com/chicago-ridge-il/mip/great-american-cash-advance-8009288,49. ,Payday Loans,http://checkngo.com,,9980 Ridgeland Ave,"Chicago Ridge, IL 60415",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"9980 Ridgeland Ave Chicago Ridge, IL 60415",-87.77958,41.710224,NS,17,5010,823001,POINT (-87.77958 41.710224)
19,Payday Loan,(708) 346-0218,https://www.yellowpages.com/alsip-il/mip/payday-loan-480775696,50. ,Payday Loans,http://cashamerica.com,,11100 S Cicero Ave,"Alsip, IL 60803",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"11100 S Cicero Ave Alsip, IL 60803",-87.73971,41.690258,NS,17,1000,823200,POINT (-87.73971 41.690258)
20,PLS Loan Store,(708) 338-3330,https://www.yellowpages.com/broadview-il/mip/pls-loan-store-10075660,51. ,"Payday Loans,Alternative Loans,Financing Services",http://pls247.com/il/store-locator/store/66-1900-w-roosevelt-rd-broadview.html,,1900 W Roosevelt Rd,"Broadview, IL 60155",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"1900 W Roosevelt Rd Broadview, IL 60155",-87.85558,41.86399,NS,17,5024,817900,POINT (-87.85558 41.86399)
21,Money Mart,(708) 344-6278,https://www.yellowpages.com/broadview-il/mip/money-mart-465891641,52. ,"Payday Loans,Check Cashing Service,Money Transfer Service",http://www.moneymart.com,,1707 W Roosevelt Rd,"Broadview, IL 60155",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"1707 W Roosevelt Rd Broadview, IL 60155",-87.853195,41.86406,NS,17,5021,817900,POINT (-87.853195 41.86406)
22,Advance America,(708) 547-0135,https://www.yellowpages.com/hillside-il/mip/advance-america-4546799,53. ,"Payday Loans,Check Cashing Service,Financing Services",http://www.advanceamerica.net,,446 N Mannheim Rd,"Hillside, IL 60162",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"446 N Mannheim Rd Hillside, IL 60162",,,,,,,POINT (nan nan)
23,Cash Loans Today,(708) 371-1212,https://www.yellowpages.com/alsip-il/mip/cash-loans-today-23057598,54. ,"Payday Loans,Loans,Financing Services",https://www.cash-advance-loans.co/?c=232985,,11949 S Pulaski Rd,"Alsip, IL 60803",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"11949 S Pulaski Rd Alsip, IL 60803",-87.719696,41.675762,NS,17,6002,823304,POINT (-87.719696 41.675762)
24,"Devon Financial Services, Inc.",(708) 422-6006,https://www.yellowpages.com/oak-lawn-il/mip/devon-financial-services-inc-503041045,55. ,"Payday Loans,Loans,Title Loans",http://www.dfsloansoaklawnil.com,,8832 S Cicero Ave,"Oak Lawn, IL 60453",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"8832 S Cicero Ave Oak Lawn, IL 60453",-87.74118,41.731358,NS,17,1000,822101,POINT (-87.74118 41.731358)
25,Express Paycheck,(708) 563-2274,https://www.yellowpages.com/bridgeview-il/mip/express-paycheck-533032414,56. ,"Payday Loans,Loans",,,7510 S Harlem Ave,"Bridgeview, IL 60455",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"7510 S Harlem Ave Bridgeview, IL 60455",-87.79999,41.755085,NS,17,2000,820502,POINT (-87.79998999999999 41.755085)
26,Express Paycheck,(708) 447-9303,https://www.yellowpages.com/riverside-il/mip/express-paycheck-533023118,57. ,"Payday Loans,Loans",,,9263 W Cermak Rd,"Riverside, IL 60546",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"9263 W Cermak Rd Riverside, IL 60546",-87.85427,41.849403,NS,17,3025,818000,POINT (-87.85427 41.849403)
27,Cashcity Loans And Installment Loans,(708) 430-5556,https://www.yellowpages.com/burbank-il/mip/cashcity-loans-and-installment-loans-533153602,58. ,"Payday Loans,Loans",http://www.cashcitypayday.com,,5603 W 79th St,"Burbank, IL 60459",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"5603 W 79th St Burbank, IL 60459",-87.761,41.748795,NS,17,1000,821002,POINT (-87.761 41.748795)
28,Metro Loan Store,(708) 581-5977,https://www.yellowpages.com/hickory-hills-il/mip/metro-loan-store-504506978,59. ,"Payday Loans,Financing Services,Loans",http://www.metroloanstore.com,,7612 W 95th St,"Hickory Hills, IL 60457",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=2",payday loans,"7612 W 95th St Hickory Hills, IL 60457",-87.80901,41.71874,NS,17,2019,823703,POINT (-87.80901 41.71874)
0,Check N' Go,(773) 271-0303,https://www.yellowpages.com/chicago-il/mip/check-n-go-13166634,61. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,2307 W Lawrence Ave,"Chicago, IL 60625",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=3",payday loans,"2307 W Lawrence Ave Chicago, IL 60625",-87.68664,41.96864,NS,17,3003,040600,POINT (-87.68664 41.96864)
1,Check N' Go,(773) 568-0900,https://www.yellowpages.com/chicago-il/mip/check-n-go-6261246,62. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,238 E 103rd St,"Chicago, IL 60628",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=3",payday loans,"238 E 103rd St Chicago, IL 60628",-87.62987,41.707092,NS,17,3028,490700,POINT (-87.62987 41.707092)
2,Check N' Go,(773) 843-9200,https://www.yellowpages.com/chicago-il/mip/check-n-go-12404177,63. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,3125 S Ashland Ave Ste 206,"Chicago, IL 60608",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=3",payday loans,"3125 S Ashland Ave Ste 206 Chicago, IL 60608",-87.66572,41.836845,NS,17,1004,840400,POINT (-87.66571999999999 41.836845)
3,Check N' Go,(773) 533-8300,https://www.yellowpages.com/chicago-il/mip/check-n-go-6204356,64. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,800 N Kedzie Ave Ste 225,"Chicago, IL 60651",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=3",payday loans,"800 N Kedzie Ave Ste 225 Chicago, IL 60651",-87.706566,41.89559,NS,17,1020,836600,POINT (-87.706566 41.89559)
4,Check N' Go,(773) 838-8900,https://www.yellowpages.com/chicago-il/mip/check-n-go-16605153,65. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,5160 S Pulaski Rd Ste 111,"Chicago, IL 60632",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=3",payday loans,"5160 S Pulaski Rd Ste 111 Chicago, IL 60632",-87.72334,41.799202,NS,17,1000,620200,POINT (-87.72333999999999 41.799202)
5,Check N' Go,(773) 486-4200,https://www.yellowpages.com/chicago-il/mip/check-n-go-8606236,66. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,3329 W North Ave,"Chicago, IL 60647",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=3",payday loans,"3329 W North Ave Chicago, IL 60647",,,,,,,POINT (nan nan)
6,Check N' Go,(773) 476-6646,https://www.yellowpages.com/chicago-il/mip/check-n-go-4051627,67. ,"Payday Loans,Check Cashing Service,Loans",http://www.checkngo.com,,6311 S Western Ave Ste B,"Chicago, IL 60636",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=3",payday loans,"6311 S Western Ave Ste B Chicago, IL 60636",-87.683624,41.77904,NS,17,1003,660700,POINT (-87.68362399999999 41.77904)
7,Check N' Go,(773) 237-7557,https://www.yellowpages.com/chicago-il/mip/check-n-go-11880563,68. ,"Payday Loans,Check Cashing Service,Financial Services",http://www.checkngo.com,,5638 W Fullerton Ave,"Chicago, IL 60639",,,"https://www.yellowpages.com/search?search_terms=payday%20loans&geo_location_terms=Chicago,%20IL&page=3",payday loans,"5638 W Fullerton Ave Chicago, IL 60639",-87.7674,41.923965,NS,17,2032,190602,POINT (-87.76739999999999 41.923965)
